Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
101	:	1757866869.187	    44.885	0	0	0	0	run_single_attr_job 101 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftCylinder density 5 100.00 2008
102	:	1757866875.325	    44.414	0	0	0	0	run_single_attr_job 102 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder density 5 100.00 3296
103	:	1757866896.083	    49.972	0	0	0	0	run_single_attr_job 103 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall density 5 100.00 1409
106	:	1757866898.082	    50.562	0	0	0	0	run_single_attr_job 106 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftCylinder density 5 100.00 1409
108	:	1757866906.375	    45.763	0	0	0	0	run_single_attr_job 108 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder density 5 100.00 3296
107	:	1757866905.458	    46.743	0	0	0	0	run_single_attr_job 107 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftCylinder density 5 100.00 2008
109	:	1757866914.083	    42.666	0	0	0	0	run_single_attr_job 109 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall density 4 937.27 1409
110	:	1757866919.751	    43.670	0	0	0	0	run_single_attr_job 110 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall density 4 937.27 2008
111	:	1757866946.066	    43.325	0	0	0	0	run_single_attr_job 111 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall density 4 937.27 3296
112	:	1757866948.654	    45.444	0	0	0	0	run_single_attr_job 112 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder density 4 937.27 1409
113	:	1757866952.151	    44.412	0	0	0	0	run_single_attr_job 113 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftCylinder density 4 937.27 2008
114	:	1757866952.213	    45.069	0	0	0	0	run_single_attr_job 114 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder density 4 937.27 3296
115	:	1757866956.758	    45.851	0	0	0	0	run_single_attr_job 115 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftBall density 4 937.27 1409
116	:	1757866963.430	    45.633	0	0	0	0	run_single_attr_job 116 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall density 4 937.27 2008
